tipo producto,precio,cantidad,credit card,marca,fecha,categoria,subcategoria
toddler boys' (12M-5T),3683.41,18,jcb,Dickies,25/02/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),3192.66,7,jcb,Olde School,22/04/2015,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),3752.59,16,americanexpress,ISANI for Target,24/04/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),4335.53,13,visa-electron,Cherokee,20/11/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),8410.81,1,bankcard,Star Wars,29/03/2015,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),8413.3,16,diners-club-us-ca,Cherokee,31/12/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),3222.75,19,visa-electron,Corona,05/12/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),4318.63,5,diners-club-carte-blanche,DC Comics,01/01/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),239.58,19,jcb,Harper and Zoe,24/07/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),8238.53,12,americanexpress,Mossimo,24/06/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),5115.66,3,jcb,Wrangler,03/10/2014,clothing shoes & jewelry,baby & kids clothing
school uniforms,7247.39,4,solo,Merona,22/07/2014,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),6088.98,1,switch,XOXO,15/12/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),2261.6,1,jcb,Mossimo Supply Co.,06/07/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),6563.32,1,jcb,Halo,13/04/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),7989.14,13,mastercard,Cherokee,20/12/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),2487.73,6,visa,Cherokee,17/05/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),4014.31,11,jcb,Dickies,28/05/2014,clothing shoes & jewelry,baby & kids clothing
school uniforms,4997.72,12,jcb,C9 Champion,19/05/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),5513.78,8,bankcard,Halo,23/07/2014,clothing shoes & jewelry,baby & kids clothing
school uniforms,8205.39,4,switch,Ambar,11/03/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),4521.23,14,mastercard,JACHS Manufacturing Co,27/04/2015,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),2307.25,5,china-unionpay,ISANI for Target,26/11/2014,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),6416.1,19,jcb,Xhilaration,22/03/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),3109.25,5,diners-club-enroute,ISANI for Target,16/02/2015,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),4768.3,4,diners-club-carte-blanche,XOXO,04/04/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),2287.12,18,laser,Halo,01/06/2014,clothing shoes & jewelry,baby & kids clothing
school uniforms,6306.43,19,diners-club-enroute,Batman,12/03/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),8554.38,8,diners-club-enroute,Corona,13/10/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),7853.73,1,solo,Olde School,08/08/2014,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),8635.43,6,americanexpress,Tevolio,11/08/2014,clothing shoes & jewelry,baby & kids clothing
school uniforms,7270.97,17,mastercard,ISANI for Target,22/10/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),9027.99,10,maestro,Mossimo,14/04/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),1119.05,13,switch,Cherokee,23/12/2014,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),7851.52,14,mastercard,ISANI for Target,11/08/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),9886.77,17,jcb,Vanilla Star,23/12/2014,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),8796.2,20,jcb,Olde School,10/09/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),454.82,4,mastercard,Xhilaration,04/12/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),7684.29,6,maestro,Ambar,13/02/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),5858.37,16,jcb,Ambar,22/10/2014,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),2088,15,jcb,Vanilla Star,02/09/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),1987.25,16,maestro,Vanilla Star,13/02/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),1491.34,12,bankcard,Wrangler,01/08/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),6507.42,9,jcb,Halo,06/06/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),720.46,4,diners-club-carte-blanche,Ambar,17/02/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),4138.6,2,americanexpress,Merona,15/02/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),6899.06,4,jcb,Mossimo Supply Co.,29/06/2014,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),3913.13,11,china-unionpay,Jeffrey Max,21/01/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),1293.11,6,maestro,Harper and Zoe,12/01/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),4175.24,3,diners-club-us-ca,JACHS Manufacturing Co,12/04/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),8469.53,16,bankcard,JACHS Manufacturing Co,11/12/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),227.18,9,jcb,Merona,31/03/2015,clothing shoes & jewelry,baby & kids clothing
school uniforms,3086.69,7,visa-electron,Denizen from Levi's,15/01/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),590.09,1,jcb,Mossimo Supply Co.,09/04/2015,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),5860.86,15,jcb,Wrangler,08/09/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),1743.01,13,diners-club-enroute,Xhilaration,24/05/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),5626.66,18,americanexpress,Halo,12/01/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),8110.07,5,mastercard,C9 Champion,29/09/2014,clothing shoes & jewelry,baby & kids clothing
school uniforms,1226.75,17,maestro,Dickies,06/03/2015,clothing shoes & jewelry,baby & kids clothing
school uniforms,3119.66,15,jcb,C9 Champion,07/10/2014,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),7305.8,3,diners-club-us-ca,Dickies,18/04/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),1168.92,12,visa-electron,Cherokee,26/04/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),6520.74,7,china-unionpay,Jeffrey Max,31/12/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),9817.16,20,jcb,DC Comics,01/02/2015,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),5289.98,17,jcb,Wrangler,30/10/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),9705.23,2,jcb,Vanilla Star,07/11/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),904.06,9,jcb,Mossimo,10/07/2014,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),9487.6,18,maestro,No Retreat,27/04/2015,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),3938.68,7,bankcard,Xhilaration,29/11/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),1545.57,10,jcb,Cherokee,23/02/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),9535.84,6,solo,Jeffrey Max,10/12/2014,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),3362.06,19,jcb,Denizen from Levi's,07/10/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),7834.78,3,americanexpress,Cherokee,25/02/2015,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),5727.62,18,maestro,C9 Champion,07/04/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),9395.85,10,americanexpress,Cherokee,27/06/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),3169.55,20,china-unionpay,Lilly Pulitzer for Target,19/10/2014,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),9496.62,10,switch,C9 Champion,31/08/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),3218.65,18,jcb,XOXO,13/04/2015,clothing shoes & jewelry,baby & kids clothing
school uniforms,2969.67,18,jcb,Wrangler,05/05/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),4682.69,8,jcb,Merona,05/02/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),5470.22,18,switch,Cherokee,15/11/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),6825.71,11,jcb,Batman,11/06/2014,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),4988.63,19,jcb,Jeffrey Max,16/04/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),8556.47,4,jcb,JACHS Manufacturing Co,09/08/2014,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),4645.67,5,jcb,Halo,10/06/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),6416,16,instapayment,Xhilaration,22/01/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),1637.03,6,diners-club-us-ca,Jeffrey Max,02/06/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),2936.8,16,jcb,Vanilla Star,05/07/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),1398.83,13,americanexpress,C9 Champion,30/05/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),3192.14,11,jcb,Mossimo,04/06/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),2504.3,15,diners-club-carte-blanche,Lily Star,24/02/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),3170.47,17,mastercard,Mossimo,30/11/2014,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),299.25,2,jcb,Mossimo,28/04/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),7793.03,4,jcb,DC Comics,25/08/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),4677.83,6,jcb,VERO MODA,11/03/2015,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),1044.1,4,jcb,Wrangler,09/05/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),7363.7,7,americanexpress,Batman,13/08/2014,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),14.24,3,maestro,ISANI for Target,24/06/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),2234.46,6,diners-club-carte-blanche,No Retreat,29/07/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),2225.64,19,diners-club-enroute,Lily Star,01/01/2015,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),7154.43,3,jcb,VERO MODA,09/11/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),1121.06,2,jcb,XOXO,22/04/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),9571.51,20,china-unionpay,Tevolio,15/10/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),1857.52,9,americanexpress,ISANI for Target,15/03/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),2827.46,10,maestro,Harper and Zoe,16/05/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),6873.42,19,jcb,Halo,19/02/2015,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),3850.18,13,diners-club-us-ca,Xhilaration,21/02/2015,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),4387.52,16,diners-club-enroute,Cherokee,15/02/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),221.99,9,laser,Wrangler,17/01/2015,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),4347.95,11,diners-club-enroute,Mossimo Supply Co.,04/12/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),713.79,19,jcb,Star Wars,13/08/2014,clothing shoes & jewelry,baby & kids clothing
toddler boys' (12M-5T),7712.54,16,jcb,JACHS Manufacturing Co,18/12/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),3771.92,13,mastercard,No Retreat,01/06/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),6541.76,13,jcb,DC Comics,27/12/2014,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),4205.98,7,jcb,Merona,20/12/2014,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),1815.55,12,mastercard,Lily Star,05/04/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),6548.88,9,bankcard,Denizen from Levi's,05/06/2014,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),9363.44,20,jcb,Wrangler,16/09/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),8573.36,13,americanexpress,No Retreat,11/08/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),5053.57,1,jcb,Star Wars,19/04/2015,clothing shoes & jewelry,baby & kids clothing
toddler girls' (12M-5T),7531.35,10,diners-club-carte-blanche,DC Comics,05/04/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),1600.08,15,jcb,No Retreat,13/12/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),6088.27,5,jcb,No Retreat,30/06/2014,clothing shoes & jewelry,baby & kids clothing
girls' (4-18),1701.98,12,jcb,JACHS Manufacturing Co,05/12/2014,clothing shoes & jewelry,baby & kids clothing
school uniforms,2952.91,2,mastercard,C9 Champion,29/09/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),1486.72,20,jcb,Mossimo Supply Co.,17/06/2014,clothing shoes & jewelry,baby & kids clothing
boys' (4-18),2548.34,15,jcb,Wrangler,17/04/2015,clothing shoes & jewelry,baby & kids clothing
baby (0-12M),7528.03,13,jcb,Vanilla Star,03/03/2015,clothing shoes & jewelry,baby & kids clothing
women's,693.29,6,laser,Star Wars,07/01/2015,clothing shoes & jewelry,shoes
baby,4684.9,10,diners-club-carte-blanche,Vanilla Star,11/07/2014,clothing shoes & jewelry,shoes
men's,9498.86,6,maestro,Star Wars,27/12/2014,clothing shoes & jewelry,shoes
toddler girls',4349.96,11,diners-club-enroute,Vanilla Star,22/11/2014,clothing shoes & jewelry,shoes
baby,7538.22,8,china-unionpay,Wrangler,01/12/2014,clothing shoes & jewelry,shoes
women's,8626.01,3,jcb,Mossimo,31/03/2015,clothing shoes & jewelry,shoes
toddler girls',8978.71,19,mastercard,ISANI for Target,18/10/2014,clothing shoes & jewelry,shoes
toddler boys',3984.1,2,jcb,Ambar,12/04/2015,clothing shoes & jewelry,shoes
toddler girls',4732.96,6,mastercard,Xhilaration,10/08/2014,clothing shoes & jewelry,shoes
baby,6458.03,1,diners-club-carte-blanche,Tevolio,08/07/2014,clothing shoes & jewelry,shoes
women's,8538.33,15,americanexpress,No Retreat,15/09/2014,clothing shoes & jewelry,shoes
toddler girls',8368.11,8,switch,JACHS Manufacturing Co,26/01/2015,clothing shoes & jewelry,shoes
toddler boys',5851.56,15,switch,DC Comics,27/03/2015,clothing shoes & jewelry,shoes
boys',3084.79,1,jcb,Ambar,08/07/2014,clothing shoes & jewelry,shoes
toddler boys',2426.41,9,maestro,ISANI for Target,02/05/2015,clothing shoes & jewelry,shoes
girls',440.09,16,jcb,Lily Star,12/11/2014,clothing shoes & jewelry,shoes
toddler girls',9569.77,18,visa,No Retreat,10/12/2014,clothing shoes & jewelry,shoes
girls',142.17,17,jcb,JACHS Manufacturing Co,02/12/2014,clothing shoes & jewelry,shoes
toddler girls',4557.33,10,jcb,Tevolio,12/08/2014,clothing shoes & jewelry,shoes
toddler girls',9698.53,16,bankcard,VERO MODA,07/11/2014,clothing shoes & jewelry,shoes
baby,1898.13,15,switch,Mossimo Supply Co.,04/06/2014,clothing shoes & jewelry,shoes
men's,5400.16,2,diners-club-carte-blanche,Ambar,24/12/2014,clothing shoes & jewelry,shoes
boys',3310.86,19,jcb,XOXO,10/03/2015,clothing shoes & jewelry,shoes
girls',6157.01,6,jcb,Dickies,12/06/2014,clothing shoes & jewelry,shoes
baby,6264.79,9,jcb,VERO MODA,07/11/2014,clothing shoes & jewelry,shoes
men's,1167.13,5,visa-electron,XOXO,17/08/2014,clothing shoes & jewelry,shoes
toddler boys',8609.22,8,jcb,Mossimo Supply Co,04/09/2014,clothing shoes & jewelry,shoes
boys',7192.23,17,mastercard,Ambar,28/01/2015,clothing shoes & jewelry,shoes
girls',1072.01,19,jcb,No Retreat,12/03/2015,clothing shoes & jewelry,shoes
men's,9695.26,6,switch,Corona,21/12/2014,clothing shoes & jewelry,shoes
toddler boys',8855.16,9,visa-electron,Dickies,28/06/2014,clothing shoes & jewelry,shoes
toddler girls',4129.02,15,jcb,ISANI for Target,14/04/2015,clothing shoes & jewelry,shoes
women's,7656.37,7,jcb,Mossimo Supply Co,21/11/2014,clothing shoes & jewelry,shoes
girls',141.2,1,diners-club-us-ca,XOXO,01/08/2014,clothing shoes & jewelry,shoes
men's,1262.21,10,jcb,DC Comics,16/08/2014,clothing shoes & jewelry,shoes
toddler girls',995.6,16,jcb,Jeffrey Max,27/05/2014,clothing shoes & jewelry,shoes
women's,7686.79,19,jcb,Mossimo,16/05/2015,clothing shoes & jewelry,shoes
men's,3469.98,17,mastercard,Dickies,28/04/2015,clothing shoes & jewelry,shoes
women's,6690.81,4,jcb,Lilly Pulitzer for Target,09/02/2015,clothing shoes & jewelry,shoes
baby,8675.22,5,americanexpress,Merona,23/11/2014,clothing shoes & jewelry,shoes
women's,8428.03,7,jcb,Lily Star,13/04/2015,clothing shoes & jewelry,shoes
toddler girls',1955.96,15,jcb,Wrangler,26/10/2014,clothing shoes & jewelry,shoes
toddler girls',6702.56,7,diners-club-enroute,Mossimo,21/02/2015,clothing shoes & jewelry,shoes
women's,7740.34,5,jcb,Cherokee,01/04/2015,clothing shoes & jewelry,shoes
toddler boys',7871.33,15,mastercard,VERO MODA,10/12/2014,clothing shoes & jewelry,shoes
boys',3373.1,15,diners-club-enroute,Mossimo,26/08/2014,clothing shoes & jewelry,shoes
men's,7436.69,6,mastercard,Lily Star,27/01/2015,clothing shoes & jewelry,shoes
toddler boys',5510.43,12,jcb,Denizen from Levi's,09/06/2014,clothing shoes & jewelry,shoes
baby,2930.23,4,jcb,Tevolio,16/08/2014,clothing shoes & jewelry,shoes
toddler girls',477.37,15,diners-club-enroute,Vanilla Star,27/06/2014,clothing shoes & jewelry,shoes
toddler girls',8553.42,9,americanexpress,VERO MODA,01/02/2015,clothing shoes & jewelry,shoes
men's,1028.87,5,jcb,Corona,07/07/2014,clothing shoes & jewelry,shoes
women's,8700.51,4,instapayment,Lily Star,17/09/2014,clothing shoes & jewelry,shoes
boys',477.73,17,jcb,Olde School,22/01/2015,clothing shoes & jewelry,shoes
baby,8264.21,14,diners-club-carte-blanche,JACHS Manufacturing Co,26/11/2014,clothing shoes & jewelry,shoes
baby,1627.97,18,maestro,Mossimo,05/10/2014,clothing shoes & jewelry,shoes
girls',1465.19,3,mastercard,C9 Champion,25/11/2014,clothing shoes & jewelry,shoes
women's,5781.27,3,visa-electron,Star Wars,26/02/2015,clothing shoes & jewelry,shoes
men's,30.8,11,maestro,Xhilaration,13/02/2015,clothing shoes & jewelry,shoes
boys',7742.23,14,jcb,DC Comics,26/02/2015,clothing shoes & jewelry,shoes
toddler boys',8006.68,9,diners-club-carte-blanche,Mossimo,11/03/2015,clothing shoes & jewelry,shoes
toddler boys',177.02,20,diners-club-carte-blanche,Halo,27/09/2014,clothing shoes & jewelry,shoes
men's,2956.25,20,jcb,Harper and Zoe,27/03/2015,clothing shoes & jewelry,shoes
women's,5655.51,5,diners-club-carte-blanche,Tevolio,01/03/2015,clothing shoes & jewelry,shoes
women's,1651.27,6,china-unionpay,Merona,30/07/2014,clothing shoes & jewelry,shoes
toddler girls',2587.65,17,jcb,ISANI for Target,05/09/2014,clothing shoes & jewelry,shoes
women's,3443.18,6,mastercard,No Retreat,26/01/2015,clothing shoes & jewelry,shoes
women's,9280.99,16,diners-club-enroute,Star Wars,02/03/2015,clothing shoes & jewelry,shoes
baby,7711.28,6,diners-club-carte-blanche,Lily Star,15/07/2014,clothing shoes & jewelry,shoes
men's,8991.06,15,mastercard,Ambar,30/09/2014,clothing shoes & jewelry,shoes
women's,9624.36,7,switch,Denizen from Levi's,11/12/2014,clothing shoes & jewelry,shoes
girls',2970.71,19,diners-club-enroute,Olde School,06/01/2015,clothing shoes & jewelry,shoes
toddler girls',8777.92,8,instapayment,Ambar,04/02/2015,clothing shoes & jewelry,shoes
girls',5751.67,12,switch,DC Comics,26/01/2015,clothing shoes & jewelry,shoes
girls',2099.56,10,bankcard,Jeffrey Max,02/10/2014,clothing shoes & jewelry,shoes
girls',665.03,8,mastercard,Mossimo Supply Co.,06/02/2015,clothing shoes & jewelry,shoes
women's,3087.89,5,china-unionpay,Dickies,19/03/2015,clothing shoes & jewelry,shoes
girls',951.91,12,jcb,No Retreat,06/06/2014,clothing shoes & jewelry,shoes
toddler girls',4311.17,9,americanexpress,Vanilla Star,24/09/2014,clothing shoes & jewelry,shoes
boys',1094.88,10,visa,Olde School,14/03/2015,clothing shoes & jewelry,shoes
toddler boys',4250.15,11,jcb,XOXO,05/05/2015,clothing shoes & jewelry,shoes
women's,9315.48,6,americanexpress,Halo,14/10/2014,clothing shoes & jewelry,shoes
toddler boys',5977.78,4,americanexpress,Wrangler,03/12/2014,clothing shoes & jewelry,shoes
baby,9657.78,5,instapayment,Lily Star,27/10/2014,clothing shoes & jewelry,shoes
women's,7509.89,11,mastercard,Denizen from Levi's,13/11/2014,clothing shoes & jewelry,shoes
men's,3741.4,4,americanexpress,Tevolio,16/07/2014,clothing shoes & jewelry,shoes
toddler girls',5150.63,2,jcb,DC Comics,16/02/2015,clothing shoes & jewelry,shoes
toddler boys',7355.39,8,jcb,Batman,13/12/2014,clothing shoes & jewelry,shoes
toddler girls',2320.5,3,americanexpress,Lily Star,09/12/2014,clothing shoes & jewelry,shoes
women's,39.12,5,switch,Lilly Pulitzer for Target,15/04/2015,clothing shoes & jewelry,shoes
baby,6776.18,8,jcb,Halo,23/05/2014,clothing shoes & jewelry,shoes
baby,7593.74,10,jcb,Star Wars,17/03/2015,clothing shoes & jewelry,shoes
girls',6036.85,6,jcb,Ambar,04/10/2014,clothing shoes & jewelry,shoes
boys',6682.05,20,jcb,Mossimo Supply Co.,18/08/2014,clothing shoes & jewelry,shoes
boys',1400.63,11,jcb,Cherokee,31/08/2014,clothing shoes & jewelry,shoes
baby,2489.04,1,jcb,Jeffrey Max,28/06/2014,clothing shoes & jewelry,shoes
girls',1595.41,13,mastercard,Jeffrey Max,05/07/2014,clothing shoes & jewelry,shoes
toddler girls',1221.06,5,diners-club-enroute,Halo,23/10/2014,clothing shoes & jewelry,shoes
baby,5275.76,18,visa-electron,Vanilla Star,15/10/2014,clothing shoes & jewelry,shoes
toddler boys',2651.39,3,jcb,ISANI for Target,20/12/2014,clothing shoes & jewelry,shoes
women's,5666.34,14,bankcard,Ambar,31/05/2014,clothing shoes & jewelry,shoes
toddler girls',8676.89,10,jcb,No Retreat,28/06/2014,clothing shoes & jewelry,shoes
toddler girls',2503.71,7,diners-club-international,Halo,07/04/2015,clothing shoes & jewelry,shoes
women's,9960.11,4,jcb,Wrangler,09/07/2014,clothing shoes & jewelry,shoes
boys',5332.9,12,jcb,No Retreat,03/09/2014,clothing shoes & jewelry,shoes
girls',1237.56,2,diners-club-carte-blanche,Halo,27/09/2014,clothing shoes & jewelry,shoes
girls',5966.48,13,mastercard,Halo,25/06/2014,clothing shoes & jewelry,shoes
baby,7008.28,11,diners-club-enroute,Dickies,16/01/2015,clothing shoes & jewelry,shoes
toddler girls',7449.06,10,jcb,Wrangler,10/06/2014,clothing shoes & jewelry,shoes
baby,9707.22,20,jcb,Mossimo Supply Co,21/08/2014,clothing shoes & jewelry,shoes
boys',2070.81,17,mastercard,Mossimo,25/06/2014,clothing shoes & jewelry,shoes
men's,3555.3,19,mastercard,Mossimo Supply Co.,25/02/2015,clothing shoes & jewelry,shoes
girls',9762.25,20,jcb,Denizen from Levi's,07/06/2014,clothing shoes & jewelry,shoes
boys',5704.81,1,diners-club-us-ca,Xhilaration,10/01/2015,clothing shoes & jewelry,shoes
baby,2009.11,5,china-unionpay,Merona,12/03/2015,clothing shoes & jewelry,shoes
women's,5755.07,3,visa-electron,Mossimo,21/03/2015,clothing shoes & jewelry,shoes
toddler boys',8969.13,16,jcb,Cherokee,20/03/2015,clothing shoes & jewelry,shoes
women's,5819.93,13,jcb,XOXO,12/07/2014,clothing shoes & jewelry,shoes
boys',1046.43,3,jcb,Lilly Pulitzer for Target,09/02/2015,clothing shoes & jewelry,shoes
baby,2575,16,mastercard,Batman,14/09/2014,clothing shoes & jewelry,shoes
women's,9787.7,8,jcb,Wrangler,05/07/2014,clothing shoes & jewelry,shoes
boys',203.63,3,diners-club-carte-blanche,Lily Star,06/08/2014,clothing shoes & jewelry,shoes
women's,5979.41,2,jcb,Dickies,23/11/2014,clothing shoes & jewelry,shoes
toddler girls',5201.32,15,bankcard,VERO MODA,11/04/2015,clothing shoes & jewelry,shoes
toddler boys',6042.47,9,jcb,Corona,24/11/2014,clothing shoes & jewelry,shoes
baby,5095.19,10,jcb,Ambar,27/07/2014,clothing shoes & jewelry,shoes
girls',9710.92,15,jcb,Lilly Pulitzer for Target,23/12/2014,clothing shoes & jewelry,shoes
men's,102.58,14,mastercard,Halo,06/11/2014,clothing shoes & jewelry,shoes
toddler boys',4301.92,12,jcb,Mossimo,30/10/2014,clothing shoes & jewelry,shoes
baby,3260.26,17,jcb,Mossimo,13/06/2014,clothing shoes & jewelry,shoes
men's,5261.9,14,jcb,Tevolio,25/02/2015,clothing shoes & jewelry,shoes
toddler girls',4368.78,18,mastercard,C9 Champion,25/06/2014,clothing shoes & jewelry,shoes
women's,8847.59,12,laser,JACHS Manufacturing Co,21/07/2014,clothing shoes & jewelry,shoes
girls',7100.47,13,jcb,Vanilla Star,26/11/2014,clothing shoes & jewelry,shoes
baby,5711.6,12,americanexpress,JACHS Manufacturing Co,23/02/2015,clothing shoes & jewelry,shoes
baby,7654.28,4,visa,C9 Champion,26/06/2014,clothing shoes & jewelry,shoes
toddler girls',4052.25,15,jcb,Wrangler,23/04/2015,clothing shoes & jewelry,shoes
men's,9427.33,12,diners-club-carte-blanche,Mossimo Supply Co.,19/02/2015,clothing shoes & jewelry,shoes
toddler girls',4210.09,7,switch,Jeffrey Max,18/10/2014,clothing shoes & jewelry,shoes
girls',4817,3,diners-club-carte-blanche,Vanilla Star,27/12/2014,clothing shoes & jewelry,shoes
baby,7188.82,9,jcb,XOXO,31/12/2014,clothing shoes & jewelry,shoes
baby,3623.89,10,laser,Corona,07/04/2015,clothing shoes & jewelry,shoes
men's,1123.38,8,switch,Mossimo Supply Co,17/10/2014,clothing shoes & jewelry,shoes
toddler boys',9635.79,1,mastercard,Tevolio,18/06/2014,clothing shoes & jewelry,shoes
baby,3600.56,6,jcb,No Retreat,16/01/2015,clothing shoes & jewelry,shoes
men's,3725.08,1,jcb,Ambar,28/07/2014,clothing shoes & jewelry,shoes
